"","Gene_Name","A","B","D","E","F","G","I (first)","K","L","O","V"
"556","YDL067C",-0.670564594766694,-0.446863094150751,2.58795460889561,-0.884367798895204,-0.136056584445416,0.323224372571385,-1.00116769744689,0.515251324427548,-0.623052771627024,0.301448120299037,0.0341941151383982
"557","YDL069C",-1.00264372125758,-1.08208488044486,1.7513164639013,0.453777530509134,0.0830521209685154,0.0962923141663946,-1.20124661922577,0.811262746851874,-0.976163334861824,-0.142031163395432,1.20846854278825
"558","YDL070W",-1.07838857816725,0.279293128704252,0.457276435468039,0.0226036360348712,-0.399547724731497,-0.609729016638482,-0.818121531593066,0.134402195559863,-0.444267148541494,-0.206359813872312,2.66283841777707
"559","YDL072C",-0.523007120543761,-0.105185789606566,1.78189736440648,-0.743396394005139,0.464153166835326,0.422830178061317,-1.08316319059143,0.491701826017998,-1.73514812458134,-0.050088471241222,1.07940655524834
"560","YDL073W",-1.17374643272575,-1.17374643272575,1.19707512183659,-0.472841191231555,-0.154944278422711,-0.162604444996418,-1.07416426726756,0.488509713768683,-0.31580777647056,1.47667120177689,1.36559878645814
"561","YDL074C",-0.559072437558287,-0.1318286867475,0.999110653633997,-0.398227731370697,-0.189632253033665,-0.300212988537634,-1.0491461517236,-0.167013466226035,-0.822958283647303,0.0541480047819019,2.56483334042882
"562","YDL075W",-0.738878061429828,-0.618166593170723,2.49737418576214,0.818522047459121,-0.0968115400761816,0.240884346587328,-0.852924479294259,-0.176051583657312,-0.845518867744621,-0.661119140158625,0.432689685722962
"563","YDL076C",-0.543830161895977,-0.546978652306954,0.007155660024947,-0.482434598881932,-0.458820920799606,-0.405296583813002,-0.72329411532165,-0.085724807098866,-0.0652596194275173,2.83607429428752,0.468409505233035
"564","YDL077C",-0.748804175535408,-0.527515777392108,-0.588984776876358,0.41910681466534,0.87397741084879,-0.170995580383459,-1.04385537305981,0.45598821435589,-1.20367477171886,0.296168815696841,2.23858919939914
"565","YDL078C",0.378119196147812,0.244718968066743,1.17003846920711,2.12311755538168,-0.132348728647955,-0.331292421393133,-1.176417565768,0.171464507559798,-1.2658651175449,-0.790096674041897,-0.391438188967257
"566","YDL079C",0.0701785742661,-0.269104508235193,-0.225264559372666,-0.779935216720286,-0.934328080105706,-0.983886283167692,-1.05250533356121,0.10448809946286,0.714435214071926,1.96292071428736,1.39300137907451
"567","YDL080C",-1.36213190604319,-1.19554334701313,0.294234338027118,-0.495871399086879,-0.343561859402253,-0.219810358408494,-0.867125902068155,1.30804471155291,0.208560221954516,1.07482072891083,1.59838477157673
"568","YDL081C",-0.371220202720391,-0.132221070397559,2.94865373035306,-0.316721588223974,-0.196370481211051,0.0483055901218248,-0.584673109498028,-0.295716913886813,-0.59545929361711,-0.473405104901175,-0.0311715560187845
"569","YDL082W",-0.653566114006125,-0.351475473768867,2.69328018967508,0.0195130317856602,-0.134182206229787,0.0844360202577025,-0.746313240394757,-0.294502238987279,-0.748963158291575,-0.625741976089536,0.757515166049488
"570","YDL083C",-0.781862187490056,-0.548452895182433,2.68253684555735,0.160419770344423,-0.0427327618492492,0.133404805956966,-0.665157541336244,-0.254530082646907,-0.720268068686655,-0.621933598316314,0.658575713649119
"571","YDL084W",-0.887543442973011,-0.721764102990884,2.60732508633347,-0.178667984678393,0.137888040083859,0.50170242873242,-0.863539194649807,0.209150652293371,-0.891294106773512,0.00511454154613734,0.0816280830763501
"572","YDL085C-A",-0.817423021865859,-0.878869399363748,1.4253697568071,1.33320019056026,0.728977478497685,0.554879408920332,-0.940315776861637,0.944039799740297,-1.16561916102056,-0.397539442296949,-0.786699833116914
"573","YDL085W",0.127496584904883,-0.601055328837304,1.60447001003677,1.44716902866062,0.326192561380024,-0.548069735110599,-1.07792567237764,0.109282787061328,-1.54982861650611,-0.610990127661061,0.773258508449093
"574","YDL086W",-0.926133503635915,-0.240230235528522,0.149651622132522,1.00161568146591,1.73805919038122,1.05215592227383,-0.738412609206523,0.416792894974349,-1.40265577411052,-1.11385439806531,0.0630112093189568
"575","YDL087C",-0.232430301396895,-0.408756736939367,0.737365094086702,-0.496919954710603,0.12022256968805,0.208385787459286,-1.55487856796544,1.26634440071412,-1.29038891465173,1.79532370734154,-0.144267083625659
"576","YDL088C",-0.689971834390972,-0.2530537368472,0.251985999560924,-0.304732221502915,-0.751046407165908,-0.725207164838051,-0.988297632176236,-0.35641070615863,0.0476210829678696,1.93153675087166,1.83757586967945
"577","YDL089W",-0.901915359012578,-0.729160427062408,-0.358971287169185,-0.306087124327296,-0.52820060826323,-0.669225042508267,-0.820826309321682,0.272113056077356,0.391983825185637,2.09132825783833,1.55896101856332
"578","YDL090C",-0.79449483767605,-0.851907238354831,0.730123358127115,2.1973291532515,0.915118871425406,0.251686685803946,-0.95397372845044,0.379269798423457,-0.947594572819464,-0.481916211758247,-0.443641277972393
"579","YDL091C",-0.63518518753761,0.269354778813095,-0.0653962323560639,0.233742969114248,-0.0440291465367559,-0.143742213693526,-1.27619776211685,1.25936308844103,-1.28332012405662,-0.414391967404761,2.09980179733381
"580","YDL092W",-0.500442971628625,-0.402541272402497,2.79185131377575,0.145708243263822,0.0673868838829195,-0.0361091981561306,-0.934007639630051,0.162491391702587,-0.841700323216845,-0.394149698183115,-0.0584867294078171
"581","YDL093W",-1.43593508020752,-1.06946954066577,-0.293059499263745,1.61380356241962,1.6448599640757,0.222476768227198,-0.858286009404418,0.638632550418682,-0.417285105888069,0.0982511616028741,-0.143988771314557
"582","YDL095W",-1.5444053195765,-1.19449467115439,1.05323644328598,1.09178592150198,1.22522642301889,0.208113267012229,-1.20932139354515,0.635122871866336,-0.619217842392604,0.300038945834988,0.0539153541482457
"583","YDL097C",-0.910385310796184,-0.316032497667377,1.29963678210318,-0.136513688803982,0.203116490126765,-0.439754919992149,-1.24031177032891,2.03469352650329,-1.08747818981007,0.0818199976514981,0.511209581013942
"584","YDL098C",-0.780938482982023,-0.691765576620754,1.68617859301309,1.13627900378526,0.52693081031659,-0.0972795342122934,-1.59835679129366,0.72013877409934,-1.16735441054752,0.0364798253296103,0.22968778911236
"585","YDL099W",-0.22469928602907,-0.0652352765890849,1.27761953974763,-0.358984767662742,-0.157556545212234,0.0228895707330122,-1.07237638884162,-0.0232710635785625,-1.09335849534688,-0.631752152231138,2.32672486501069
"586","YDL100C",-1.38520437548758,-1.09445683040773,1.8805135862129,0.435082933530206,0.445466774425915,0.338513213200113,-0.679103194579367,1.34782254826303,-0.52023042887502,-0.407046563111792,-0.361357663170672
"587","YDL101C",-1.24435333171678,-1.19418830211353,1.37139464045226,0.203266093976772,1.76554844447773,0.561587733999927,-0.800034498088063,0.540088435598538,-0.7928680652876,-0.319883500457035,-0.0905576508422155
"588","YDL102W",-0.891953477435151,-0.413556443881723,1.12601219137203,1.08252155195809,1.35216351632456,-0.378763932350565,-1.683483114769,0.256199403093075,-1.10940667450489,-0.039536944921771,0.699803925115344
"589","YDL103C",-0.870610462297872,-0.740947908171508,-0.418622914863033,-0.430343823710613,-0.157100136201383,-0.494808822372309,-0.786366429955884,0.703654107292841,0.425282522162794,2.59584832937419,0.174015538742778
"590","YDL104C",-0.461784928351408,-0.386269037704241,-0.269933746707255,2.78063610610261,-0.456342341638099,-0.558390842512648,-0.569616177608849,-0.51042804710161,0.503253728252248,-0.521313220528228,0.450188507797482
"591","YDL105W",-0.890283265618628,-0.472207165463956,0.731345244072224,0.744014216804184,1.06073853510318,0.173910443865993,-1.2450145021135,-0.0668000380412426,-1.13099374752586,-0.738255592835111,1.83354587175272
"592","YDL106C",-0.647862617466124,0.0247275808193177,-0.479715067894763,-0.356077163798175,-0.672590198285441,-0.771500521562712,-1.10285010454157,0.400586809272947,-0.0741827424579531,1.73093065735224,1.94853336856223
"593","YDL107W",-0.78425459765913,-0.610259270527209,0.545967742026851,-0.761803587706624,-0.55974449813407,-0.6719995478966,-1.08173047952984,1.27001281299517,-0.088273289131444,2.01089614142787,0.731188574135025
"594","YDL108W",-1.0005799916496,-0.548263009123069,2.04660810116072,-0.0880106409381767,-0.0959460265965369,-0.21497681147194,-1.52431544510137,1.07849105084077,-0.667293793998472,0.499207897780479,0.515078669097199
"595","YDL109C",-0.949074941063751,-0.800128030728194,-0.515774838269405,-0.312665415084556,-0.434531068995466,-0.461612325420112,-0.610559235755668,0.78412547011363,0.337284739106962,2.53086650950333,0.432069136593225
"596","YDL110C",0.271579566968588,-0.13427764781075,0.276569614691285,-0.247385396191877,0.190075454164541,0.517755254621629,-1.37014613379865,2.29587559314258,-1.34186919670337,0.225005788223418,-0.683182897307395
"597","YDL111C",-0.0653667075316724,0.554976163945377,1.5841813825323,0.371693042827158,0.258903429831331,-0.192255022151978,-1.39064466023264,-0.375538143270197,-1.53163167647743,-0.657512175759765,1.44319436628752
"598","YDL112W",-0.444194138001704,-0.101307434982845,2.4703428376586,-0.030493876750689,-0.347291374105069,-0.280204845253554,-1.05169992704599,-0.440467108621064,-0.645453724556251,-0.399469785434026,1.27023937709259
"599","YDL113C",1.03717820945082,2.23217192847838,0.757269770759683,-0.596518158679195,-0.569603885728123,-0.548072467367267,-1.26937498245597,-0.0582326996577721,-0.873735170075227,-0.0959126817892716,-0.0151698629360582
"600","YDL114W",-0.614131856581646,-0.611723353252013,-0.612124770473618,-0.608913432700775,-0.608913432700775,-0.603293591598299,-0.568370293318624,0.431158588478944,0.560816351057504,2.54261317412361,0.692882616965696
"601","YDL115C",-0.54277015749571,-0.466132072910435,-0.136466661440445,-0.906496939892488,-0.732540652659247,-0.732540652659247,-1.07923674959263,1.09095916945704,0.441360166781862,1.93884401002746,1.12502054038383
"602","YDL116W",-0.624198701010645,-0.496633708700063,0.976741952487163,-0.353123092350658,-0.11712785657608,-0.110749606960551,-0.959056805825924,-0.0278323619586726,-0.716683320435817,-0.177721227923607,2.60638472925485
"603","YDL117W",-1.18054488695104,0.0932622688835578,2.2989149279797,-0.0691695160886387,0.657498995629082,0.341184466999016,-1.0694073498648,0.0932622688835578,-0.941171730149904,-0.701798573348772,0.477969128028234
"604","YDL119C",-0.478036016843892,-0.378820994480066,1.71709635295577,1.87832076429699,0.228871017498373,0.10485223954359,-0.974111128663026,0.278478528680287,-0.825288595117286,-0.478036016843892,-1.07332615102685
"605","YDL120W",-1.05537346447991,-1.01824412084682,2.11299719221031,-0.362292383328925,0.293659354188973,-0.164269217285786,-0.919232537825253,0.541188311742897,-0.844973850559076,1.08575201836153,0.330788697822062
"606","YDL121C",-0.350275315219032,-0.282080121105592,2.8811277289255,-0.150935517041285,-0.0958547833342756,0.0300440365674595,-0.649285012485653,-0.305686149837167,-0.733217559086809,-0.591581386697357,0.24774407931421
"607","YDL122W",-0.880889431139536,-0.639228681823461,0.268522200061292,-0.671720883412177,-0.684920840307593,-0.521444451064365,-0.922520064425079,0.516275237175252,-0.0492921467283362,1.74691737234787,1.83830168931613
"608","YDL123W",1.40107802661756,1.85980832625903,0.772173583560711,0.0470837550951654,-0.759393707177737,-0.522629681556335,-1.05534873920449,-0.759393707177737,-1.07014649080583,-0.337657786539614,0.424426420929276
"609","YDL124W",-0.21490794757817,1.15413527403091,0.939227326452742,-0.692481164418547,0.191029286736151,-0.310422590946245,-1.08249929150486,0.159191072280126,-1.49639607943318,-0.501451877682396,1.85457599206347
"610","YDL125C",-0.0849575051432056,0.0947602941981907,-0.945035544848459,-0.955305133382253,-0.213327361815632,-0.187653390481146,-0.929631162047768,2.13840841242321,-0.829502673843276,0.687829032024798,1.22441503291554
"611","YDL126C",0.170631824583786,1.1911025801545,1.67233510488679,-0.506817533149474,0.16418674612755,0.0195305407764731,-1.14129970117449,1.1911025801545,-1.15848657705779,-0.551933082343126,-1.05035248295872
"612","YDL127W",-0.806453798043432,-0.775969290213612,0.748256101277412,0.62631806995813,1.63230682834221,0.534864546468668,-1.2027523998311,0.321472991659925,-1.32469043115038,-0.745484782383791,0.992132163915975
"613","YDL128W",-0.772976557019968,0.616668278176595,1.6153282953348,0.866333282466147,-0.108773432400594,-0.532732873647003,-1.10272278910051,-0.560996836396763,-1.08859080772563,-0.485626269064069,1.55408970937699
"614","YDL129W",-0.430599277560316,0.928596702912681,1.7798103472493,-0.403140772904296,-0.801289090416587,-0.595350305496436,-0.938581613696688,-0.787559838088577,-0.760101333432557,0.489260628416359,1.51895455301711
"615","YDL130W",-0.647693081585707,-0.259279006179948,2.52620479172992,-0.0132834250896341,-0.124258875205565,0.101391206696828,-0.828952983441728,-0.294421232049993,-0.851148073464914,-0.679136125785221,1.07057680437596
"616","YDL130W-A",0.793303026775071,1.23578765910351,1.67827229143196,-0.0809393377041558,0.0102393138059476,-0.284750441079681,-1.28235215760199,-0.129210388503622,-1.38693943433417,-1.05172380378232,0.498313271889442
"617","YDL131W",-0.556272114136202,-0.4351670392878,1.98056050637244,-0.447914941903421,0.189480188877644,0.157610432338591,-1.034318462222,-0.224826646130048,-0.964204997836084,-0.422419136672179,1.75747221059906
"618","YDL132W",-1.42336910673396,-0.777903014804167,0.307489687267724,-0.410095521078808,0.159645498613413,0.181281233538434,-1.03753183390442,1.42894194754798,-0.85362808704174,0.851989016214087,1.57318018038146
"619","YDL133W",0.717688547819523,0.34016351873044,1.98884877234732,0.26848155118188,-0.515241294015711,-0.558250474544847,-1.4614432656567,-0.72072960098825,-1.17471539546246,0.325827125220728,0.789370515368083
"620","YDL134C",-0.772225313305069,-0.354686315303541,2.38643009365454,0.38278516168617,0.176726954880221,0.290601227062456,-0.902367338656194,0.0140494231913145,-1.19247560350141,-0.750534975746548,0.72169668603806
"621","YDL135C",0.00222409576710071,-0.10379113579803,1.07868644704381,0.279494701398981,1.61284011377582,0.544532780311808,-1.3759739145796,0.691323100940451,-1.47791163723838,-1.13132338019853,-0.120101171423435
"622","YDL136W",-0.767421270452885,-0.532520772608482,2.71666233743508,-0.0890023501050631,-0.194132642846614,0.182036685869248,-0.678717585952202,-0.108714279994104,-0.727997410674804,-0.468457000469099,0.668264289798922
"623","YDL137W",-0.643389090362751,-0.525589934233381,1.91903413752067,0.834348838507662,0.493780981183147,0.470454415612975,-1.51113732957316,0.7853630508103,-1.16007251774207,-0.3249814703299,-0.337811081393495
"624","YDL138W",-0.933459704882312,0.115639324870478,1.28276199547046,1.84665272396258,-0.0548392674643505,0.115639324870478,-1.28753062742388,0.207435489973847,-1.30064436529579,-0.566275044468835,0.574620150387324
"625","YDL139C",-0.810472794921099,-0.530491283948356,1.78304014882642,-0.456811938955529,0.265245641974178,0.412604331959832,-1.34096407886946,0.206302165979916,-1.17886951988524,0.176830427982785,1.47358689985654
"626","YDL140C",-0.384560084536796,0.405027675243028,1.09314230926802,-0.270402818062605,-0.546282878708568,-0.577993230506954,-1.06950368338194,-0.336994556839217,-0.93949124100856,0.265502127330127,2.36155638120348
"627","YDL141W",-1.07137750274298,0.113265212595011,0.113265212595011,1.1957835559211,0.0315657149854947,-0.152258154635917,-1.0509526283406,-0.254382526647813,-1.3369008699739,0.337938831021181,2.0740531552234
"628","YDL142C",-0.182538821847464,0.330123401213498,0.988039920808398,2.16716303384861,0.236135326985655,0.176324734295209,-0.994254008360652,0.116514141604764,-1.19931889758504,-1.21640763835374,-0.421781192609246
"629","YDL143W",-0.847609250023433,-0.511147455248763,2.75368334423776,-0.211786010468259,-0.137585310479929,-0.0390774846333525,-0.688973270738037,0.626170170434435,-0.662107500052607,-0.257841617357567,-0.0237256156702497
"630","YDL144C",-0.421368456548596,-0.306549672430399,2.4793166159111,1.09544811259179,0.170854745745258,0.0922945250328085,-0.584531991874453,-0.294463484628484,-0.965246907634788,-0.93503143813,-0.33072204803423
"631","YDL145C",-1.04980708435788,-0.799737028687171,1.87511945964774,0.361302515498265,0.530992910417675,0.00405957882582307,-1.10339352485875,0.196077657287261,-1.10339352485875,-0.250476013553292,1.33925505463908
"632","YDL146W",-0.981683957209182,0.092795995955097,1.57020593155598,-0.122099994677759,-0.363857984139722,-0.525029977114364,-1.41147593847489,-0.256409988823294,-0.560845975553173,1.77614792257913,0.782253965902176
"633","YDL147W",-0.41165055342375,0.158548426496674,1.39388003849181,-0.0731135674395822,-0.0163922029448804,-0.0701282324661768,-1.33232785922196,2.19992048131126,-0.846912392546251,-0.596144254780201,-0.405679883476939
"634","YDL148C",-0.328917346407882,0.118392238282764,2.44902372751963,-0.087931370891888,-0.419699734444728,-0.153954925827777,-0.886816385616141,-0.378435012609798,-0.919828163084085,-0.621071576999189,1.22923855007909
"635","YDL149W",-0.46428193733716,0.167172527144792,0.0861074269748117,-0.361883916069817,0.11597351651112,-0.481348274215051,-0.980538627893351,0.346369064362643,-0.903740111942843,-0.246686142144055,2.72285647460891
"636","YDL150W",-0.811849777600888,-0.594710469268202,2.40575997314711,-0.0577841795728307,-0.282819462753979,0.285690726335238,-0.894757513509733,0.135667204214472,-0.953977324873193,-0.326247324420516,1.09502814830252
"637","YDL153C",0.0347637129071713,0.312095952936585,2.68469159230717,-0.434379812076507,-0.416053893131832,-0.218133968529343,-0.803341646829296,-0.484470657191952,-0.787459183743911,-0.567548156407812,0.679836059759729
"638","YDL154W",-1.24513968179253,-1.16542175382037,-1.1793723912155,-0.304468131720968,0.437905072519834,-0.0364165989145579,-0.320411717315402,1.89674315441048,0.339254136654277,1.2101724997502,0.367155411444536
"639","YDL155W",-0.645699030570248,-0.591820806302899,-0.450967734289689,-0.630305252208148,-0.552566671479545,-0.57180889443217,-0.695728810247071,0.40261727588873,0.387223497526631,2.56775220251803,0.781304223596379
"640","YDL156W",-0.891234232195448,-0.808851235942087,0.0973617228448809,0.619120699116166,1.47041166040089,-0.0399432709107203,-1.08346122345329,-0.259631260919682,-1.16584421970665,0.234666716600482,1.82740464416546
